,UsedPower,label
0,433.2257812,0
1,388.8,0
2,380.64,0
3,384.96,0
4,380.64,0
5,398.88,0
6,397.44,0
7,405.6,0
8,408.96,0
9,407.04,0
10,426.72,0
11,441.6,0
12,432.96,0
13,408.48,0
14,374.88,0
15,375.84,0
16,399.84,0
17,396.0,0
18,400.8,0
19,423.84,0
20,403.2,0
21,410.88,0
22,433.92,0
23,526.56,0
24,555.36,0
25,584.16,0
26,644.16,0
27,770.4,0
28,767.52,0
29,804.96,0
30,833.28,0
31,817.44,0
32,762.72,0
33,778.56,0
34,790.08,0
35,787.2,0
36,766.08,0
37,790.56,0
38,803.52,0
39,786.24,0
40,754.08,0
41,703.2,0
42,704.16,0
43,614.88,0
44,635.52,0
45,617.76,0
46,588.96,0
47,573.6,0
48,567.84,0
49,581.28,0
50,582.72,0
51,598.56,0
52,602.4,0
53,603.84,0
54,612.0,0
55,608.16,0
56,608.64,0
57,606.72,0
58,611.04,0
59,607.2,0
60,689.28,0
61,702.24,0
62,718.08,0
63,740.64,0
64,740.64,0
65,710.4,0
66,718.08,0
67,763.2,0
68,725.28,0
69,731.52,0
70,776.16,0
71,775.2,0
72,737.28,0
73,693.6,0
74,745.44,0
75,745.92,0
76,658.08,0
77,628.32,0
78,613.92,0
79,597.12,0
80,629.28,0
81,676.32,0
82,653.28,0
83,652.8,0
84,655.68,0
85,645.6,0
86,644.16,0
87,643.68,0
88,624.0,0
89,654.72,0
90,676.32,0
91,686.88,0
92,686.4,0
93,636.48,0
94,581.28,0
95,591.84,0
96,618.72,0
97,451.68,0
98,428.16,0
99,432.96,0
100,426.72,0
101,422.88,0
102,421.92,0
103,434.4,0
104,443.52,0
105,423.36,0
106,417.6,0
107,423.36,0
108,418.08,0
109,417.12,0
110,436.8,0
111,435.84,0
112,442.08,0
113,438.24,0
114,438.72,0
115,443.52,0
116,446.4,0
117,458.88,0
118,528.0,0
119,621.12,0
120,673.44,0
121,733.44,0
122,801.12,0
123,951.36,0
124,963.84,0
125,1009.92,0
126,1047.36,0
127,1043.52,0
128,1065.12,0
129,1095.36,0
130,1083.84,0
131,1094.88,0
132,1133.28,0
133,1187.52,0
134,1155.36,0
135,1177.44,0
136,1240.32,0
137,1246.56,0
138,1242.24,0
139,1245.12,0
140,1253.76,0
141,1206.24,0
142,1191.36,0
143,1235.52,0
144,1220.16,0
145,1156.8,0
146,1196.64,0
147,1171.68,0
148,1135.68,0
149,1213.92,0
150,1209.12,0
151,1165.92,0
152,1222.08,0
153,1231.2,0
154,1181.76,0
155,1216.8,0
156,1182.24,0
157,1194.24,0
158,1221.6,0
159,1164.96,0
160,1192.32,0
161,1176.0,0
162,1092.96,0
163,1140.96,0
164,1143.84,0
165,1054.56,0
166,1061.76,0
167,1015.2,0
168,949.44,0
169,924.0,0
170,934.56,0
171,918.24,0
172,852.48,0
173,860.64,0
174,850.08,0
175,828.48,0
176,792.96,0
177,828.48,0
178,813.12,0
179,750.72,0
180,762.24,0
181,826.08,0
182,751.2,0
183,785.28,0
184,770.88,0
185,621.6,0
