,UsedPower,label
0,351.7488281,0
1,353.52,0
2,343.44,0
3,344.88,0
4,350.28,0
5,343.44,0
6,351.36,0
7,345.24,0
8,340.2,0
9,331.2,0
10,329.04,0
11,324.72,0
12,330.84,0
13,336.96,0
14,320.76,0
15,324.0,0
16,321.84,0
17,320.04,0
18,314.28,0
19,313.92,0
20,312.84,0
21,321.84,0
22,329.04,0
23,322.92,0
24,331.2,0
25,343.8,0
26,347.04,0
27,342.0,0
28,335.88,0
29,337.32,0
30,346.32,0
31,338.76,0
32,336.6,0
33,345.24,0
34,357.12,0
35,360.36,0
36,344.88,0
37,337.32,0
38,330.84,0
39,320.04,0
40,325.8,0
41,342.0,0
42,340.92,0
43,334.44,0
44,338.04,0
45,349.56,0
46,353.16,0
47,353.52,0
48,361.08,0
49,346.68,0
50,352.44,0
51,361.8,0
52,378.36,0
53,387.0,0
54,381.6,0
55,372.96,0
56,373.32,0
57,367.56,0
58,363.96,0
59,368.64,0
60,365.04,0
61,360.0,0
62,367.92,0
63,359.28,0
64,351.36,0
65,356.76,0
66,368.64,0
67,366.12,0
68,377.64,0
69,359.28,0
70,360.36,0
71,379.8,0
72,382.68,0
73,378.36,0
74,395.28,0
75,388.8,0
76,381.24,0
77,376.92,0
78,366.12,0
79,377.64,0
80,376.92,0
81,377.28,0
82,366.12,0
83,366.84,0
84,371.52,0
85,367.92,0
86,364.32,0
87,367.92,0
88,365.76,0
89,367.2,0
90,356.4,0
91,354.6,0
92,365.04,0
93,375.12,0
94,365.76,0
95,352.8,0
96,345.24,0
97,367.2,0
98,365.4,0
99,349.92,0
100,344.16,0
101,347.4,0
102,334.8,0
103,327.96,0
104,324.0,0
105,314.64,0
106,301.68,0
107,321.12,0
108,318.6,0
109,307.44,0
110,307.44,0
111,299.16,0
112,308.88,0
113,312.12,0
114,301.32,0
115,289.8,0
116,295.92,0
117,307.8,0
118,306.0,0
119,326.52,0
120,338.4,0
121,348.48,0
122,351.0,0
123,362.52,0
124,367.92,0
125,372.6,0
126,370.08,0
127,393.84,0
128,430.56,0
129,434.88,0
130,438.84,0
131,444.24,0
132,449.64,0
133,451.8,0
134,453.24,0
135,455.04,0
136,452.16,0
137,470.16,0
138,480.6,0
139,482.76,0
140,478.44,0
141,478.08,0
142,485.64,0
143,497.16,0
144,497.16,0
145,466.56,0
146,472.32,0
147,462.24,0
148,468.0,0
149,474.48,0
150,470.52,0
151,467.64,0
152,472.68,0
153,479.88,0
154,479.16,0
155,472.68,0
156,463.32,0
157,464.04,0
158,461.16,0
159,443.88,0
160,447.48,0
161,445.68,0
162,441.72,0
163,440.64,0
164,447.84,0
165,445.68,0
166,457.2,0
167,457.56,0
168,457.56,0
169,452.16,0
170,449.64,0
171,439.56,0
172,428.76,0
173,416.88,0
174,423.0,0
175,429.12,0
176,432.72,0
177,412.92,0
178,405.36,0
179,416.88,0
180,409.32,0
181,396.0,0
182,389.88,0
183,391.68,0
184,375.84,0
185,375.48,0
186,369.36,0
187,351.72,0
188,354.6,0
189,358.56,0
190,374.4,0
191,366.84,0
192,362.16,0
193,353.88,0
194,354.96,0
195,354.96,0
196,352.8,0
197,357.48,0
198,342.72,0
199,337.68,0
200,331.2,0
201,322.2,0
202,323.64,0
203,317.52,0
204,330.12,0
205,318.96,0
206,302.4,0
207,300.6,0
208,314.64,0
209,309.24,0
210,299.16,0
211,308.88,0
212,312.12,0
213,310.68,0
214,319.32,0
215,320.04,0
216,335.52,0
217,351.36,0
218,352.44,0
219,354.96,0
220,361.08,0
221,360.0,0
222,372.96,0
223,380.88,0
224,380.52,0
225,387.72,0
226,409.32,0
227,411.84,0
228,406.44,0
229,393.48,0
230,384.48,0
231,410.04,0
232,397.08,0
233,398.52,0
234,415.8,0
235,406.8,0
236,407.88,0
237,414.0,0
238,408.96,0
239,413.64,0
240,415.44,0
241,383.4,0
242,392.4,0
243,396.72,0
244,394.2,0
245,383.04,0
246,375.84,0
247,364.32,0
248,363.6,0
249,353.52,0
250,349.56,0
251,351.36,0
252,360.36,0
253,356.04,0
254,362.88,0
255,357.48,0
256,350.28,0
257,347.76,0
258,352.44,0
259,364.32,0
260,372.96,0
261,366.84,0
262,374.76,0
263,372.96,0
264,371.52,0
265,364.68,0
266,369.72,0
267,368.28,0
268,376.56,0
269,363.6,0
270,348.84,0
271,345.24,0
272,346.32,0
273,348.12,0
274,356.4,0
275,356.04,0
276,343.44,0
277,333.0,0
278,331.56,0
279,330.84,0
280,336.96,0
281,342.72,0
282,336.96,0
283,330.84,0
284,331.56,0
285,327.24,0
286,326.16,0
287,329.76,0
288,329.76,0
289,323.28,0
290,321.48,0
291,320.76,0
292,316.44,0
293,317.52,0
294,317.88,0
295,308.16,0
296,304.56,0
297,303.12,0
298,296.28,0
299,299.88,0
300,305.64,0
301,299.16,0
302,294.48,0
303,291.24,0
304,287.64,0
305,284.04,0
306,289.8,0
307,281.88,0
308,277.92,0
309,279.72,0
310,277.2,0
311,286.56,0
312,295.92,0
313,306.36,0
314,311.04,0
315,311.04,0
316,315.0,0
317,315.72,0
318,311.04,0
319,310.68,0
320,318.24,0
321,323.28,0
322,316.8,0
323,318.96,0
324,334.8,0
325,331.56,0
326,318.6,0
327,315.72,0
328,315.72,0
329,322.56,0
330,319.68,0
331,318.6,0
332,311.4,0
333,330.12,0
334,335.88,0
335,341.28,0
336,339.84,0
337,326.16,0
338,342.36,0
339,334.44,0
340,345.96,0
341,352.08,0
342,353.52,0
343,341.28,0
344,336.24,0
345,336.24,0
346,320.76,0
347,324.36,0
348,329.76,0
349,318.96,0
350,322.56,0
351,323.64,0
352,333.0,0
353,336.6,0
354,331.92,0
355,322.2,0
356,326.52,0
357,360.0,0
358,349.2,0
359,348.48,0
360,348.12,0
361,353.52,0
362,386.64,0
363,372.96,0
364,373.68,0
365,366.12,0
366,356.76,0
367,356.4,0
368,352.44,0
369,353.88,0
370,355.32,0
371,362.88,0
372,369.36,0
373,364.68,0
374,371.52,0
375,367.56,0
376,375.48,0
377,362.52,0
378,364.32,0
379,358.92,0
380,358.92,0
381,356.76,0
382,353.16,0
383,348.84,0
384,354.6,0
385,347.4,0
386,338.76,0
387,334.44,0
388,332.28,0
389,335.16,0
390,333.0,0
391,328.68,0
392,317.52,0
393,327.6,0
394,313.2,0
395,305.64,0
396,311.04,0
397,308.88,0
398,307.8,0
399,300.96,0
400,299.52,0
401,292.68,0
402,284.4,0
403,281.16,0
404,274.68,0
405,282.6,0
406,304.92,0
407,316.08,0
408,329.4,0
409,351.0,0
410,358.2,0
411,352.08,0
412,353.88,0
413,372.6,0
414,379.8,0
415,378.0,0
416,399.24,0
417,414.36,0
418,431.28,0
419,437.04,0
420,442.44,0
421,448.92,0
422,470.52,0
423,471.24,0
424,468.36,0
425,472.68,0
426,474.84,0
427,484.2,0
428,490.68,0
429,500.76,0
430,494.28,0
431,502.92,0
432,496.08,0
433,468.72,0
434,465.12,0
435,468.36,0
436,462.24,0
437,460.44,0
438,460.8,0
439,463.68,0
440,463.32,0
441,456.48,0
442,450.36,0
443,447.12,0
444,453.96,0
445,453.96,0
446,468.0,0
447,461.88,0
448,453.6,0
449,448.56,0
450,438.84,0
451,457.2,0
452,464.04,0
453,436.32,0
454,448.92,0
455,443.88,0
456,450.0,0
457,436.32,0
458,454.68,0
459,441.72,0
460,430.92,0
461,414.72,0
462,412.56,0
463,407.52,0
464,402.12,0
465,405.36,0
466,423.0,0
467,410.04,0
468,387.72,0
469,390.6,0
470,383.4,0
471,384.84,0
472,382.32,0
473,360.72,0
474,351.72,0
475,343.8,0
476,349.92,0
477,343.44,0
478,339.12,0
479,339.84,0
480,331.56,0
481,332.28,0
482,342.0,0
483,333.72,0
484,324.0,0
