,UsedPower,label
0,499.6823438,0
1,502.08,0
2,499.2,0
3,499.68,0
4,492.96,0
5,492.96,0
6,487.2,0
7,479.52,0
8,483.36,0
9,480.0,0
10,481.92,0
11,500.16,0
12,495.36,0
13,486.72,0
14,486.72,0
15,488.64,0
16,485.28,0
17,488.64,0
18,487.68,0
19,480.0,0
20,475.68,0
21,482.4,0
22,481.92,0
23,476.16,0
24,485.28,0
25,500.64,0
26,510.24,0
27,510.72,0
28,516.48,0
29,523.68,0
30,526.56,0
31,510.24,0
32,514.08,0
33,511.68,0
34,507.84,0
35,519.84,0
36,516.0,0
37,523.2,0
38,529.44,0
39,523.2,0
40,524.64,0
41,526.56,0
42,520.8,0
43,519.84,0
44,527.04,0
45,514.56,0
46,511.2,0
47,511.2,0
48,515.04,0
49,511.2,0
50,515.04,0
51,523.2,0
52,530.88,0
53,535.68,0
54,531.36,0
55,532.32,0
56,526.08,0
57,542.4,0
58,541.44,0
59,545.28,0
60,548.64,0
61,549.12,0
62,549.12,0
63,556.32,0
64,552.96,0
65,571.68,0
66,565.92,0
67,567.36,0
68,572.64,0
69,567.84,0
70,567.36,0
71,566.88,0
72,565.92,0
73,562.56,0
74,558.24,0
75,554.88,0
76,552.0,0
77,538.56,0
78,545.28,0
79,590.4,0
80,587.04,0
81,584.64,0
82,562.56,0
83,532.32,0
84,521.28,0
85,536.64,0
86,535.68,0
87,533.28,0
88,531.84,0
89,526.08,0
90,526.56,0
91,522.72,0
92,520.32,0
93,512.16,0
94,504.48,0
95,507.36,0
96,500.64,0
97,498.24,0
98,493.92,0
99,489.6,0
100,492.0,0
101,489.6,0
102,488.16,0
103,485.76,0
104,485.28,0
105,481.92,0
106,480.96,0
107,488.64,0
108,502.08,0
109,503.04,0
110,505.44,0
111,501.12,0
112,502.08,0
113,479.04,0
114,474.24,0
115,482.4,0
116,484.32,0
117,494.4,0
118,501.6,0
119,509.28,0
120,517.92,0
121,541.44,0
122,560.16,0
123,577.44,0
124,580.8,0
125,593.76,0
126,601.44,0
127,602.88,0
128,636.96,0
129,662.88,0
130,744.96,0
131,809.76,0
132,841.44,0
133,873.12,0
134,891.84,0
135,852.48,0
136,851.52,0
137,887.04,0
138,892.32,0
139,867.36,0
140,877.44,0
141,905.28,0
142,927.36,0
143,914.88,0
144,902.4,0
145,875.04,0
146,870.24,0
147,863.52,0
148,879.36,0
149,882.24,0
150,892.32,0
151,884.16,0
152,888.0,0
153,870.24,0
154,883.68,0
155,888.48,0
156,892.32,0
157,890.88,0
158,892.8,0
159,894.72,0
160,896.16,0
161,906.24,0
162,903.36,0
163,898.08,0
164,883.68,0
165,877.92,0
166,857.28,0
167,815.52,0
168,805.92,0
169,782.88,0
170,764.64,0
171,762.24,0
172,743.04,0
173,725.28,0
174,718.56,0
175,714.24,0
176,707.04,0
177,681.6,0
178,675.36,0
179,667.2,0
180,656.16,0
181,639.84,0
182,640.8,0
183,643.68,0
184,630.72,0
185,610.56,0
186,592.32,0
187,580.8,0
188,576.48,0
189,552.48,0
190,533.76,0
191,540.48,0
192,536.16,0
193,528.96,0
194,529.44,0
195,513.6,0
196,516.0,0
197,514.56,0
198,512.64,0
199,511.2,0
200,504.96,0
201,508.32,0
202,504.96,0
203,521.28,0
204,529.44,0
205,528.0,0
206,532.32,0
207,530.4,0
208,533.76,0
209,528.48,0
210,517.92,0
211,500.16,0
212,495.36,0
213,503.52,0
214,492.48,0
215,497.28,0
216,508.32,0
217,545.76,0
218,560.16,0
219,558.72,0
220,568.32,0
221,568.8,0
222,567.36,0
223,567.84,0
224,580.32,0
225,605.28,0
226,634.56,0
227,661.44,0
228,671.52,0
229,655.2,0
230,643.2,0
231,655.2,0
232,666.72,0
233,654.72,0
234,657.6,0
235,648.48,0
236,660.48,0
237,688.8,0
238,707.52,0
239,713.76,0
240,700.32,0
241,693.12,0
242,689.76,0
243,689.28,0
244,694.08,0
245,690.24,0
246,672.0,0
247,662.4,0
248,664.32,0
249,653.28,0
250,656.16,0
251,660.96,0
252,661.92,0
253,657.6,0
254,635.52,0
255,620.64,0
256,614.4,0
257,609.12,0
258,601.44,0
259,598.08,0
260,592.8,0
261,575.04,0
262,568.32,0
263,573.6,0
264,564.48,0
265,552.48,0
266,543.36,0
267,545.28,0
268,534.24,0
269,523.68,0
270,528.0,0
271,514.08,0
272,516.48,0
273,519.36,0
274,522.24,0
275,522.72,0
276,520.8,0
277,507.84,0
278,516.0,0
279,505.44,0
280,528.48,0
281,515.52,0
282,497.28,0
283,493.44,0
284,481.92,0
285,448.8,0
286,439.2,0
287,441.12,0
288,435.84,0
289,430.08,0
290,433.44,0
291,429.6,0
292,430.56,0
293,423.84,0
294,421.92,0
295,420.96,0
296,413.28,0
297,413.76,0
298,413.76,0
299,413.28,0
300,417.12,0
301,414.24,0
302,413.76,0
303,416.64,0
304,415.68,0
305,413.28,0
306,405.6,0
307,416.64,0
308,416.64,0
309,414.72,0
310,426.72,0
311,421.92,0
312,421.44,0
313,468.48,0
314,485.28,0
315,484.8,0
316,478.08,0
317,476.64,0
318,477.12,0
319,477.12,0
320,474.72,0
321,479.52,0
322,480.0,0
323,484.8,0
324,488.64,0
325,480.48,0
326,466.56,0
327,462.72,0
328,467.52,0
329,471.36,0
330,477.6,0
331,474.72,0
332,488.16,0
333,496.8,0
334,497.28,0
335,499.68,0
336,496.8,0
337,494.88,0
338,503.04,0
339,513.6,0
340,501.6,0
341,511.68,0
342,513.6,0
343,504.0,0
344,508.32,0
345,501.6,0
346,509.28,0
347,505.92,0
348,508.32,0
349,512.16,0
350,510.72,0
351,521.76,0
352,516.48,0
353,519.84,0
354,528.0,0
355,529.44,0
356,535.2,0
357,531.84,0
358,531.84,0
359,543.36,0
360,532.8,0
361,535.68,0
362,531.84,0
363,530.4,0
364,523.2,0
365,518.4,0
366,511.68,0
367,517.44,0
368,517.92,0
369,509.28,0
370,516.0,0
371,511.2,0
372,511.2,0
373,508.8,0
374,502.56,0
375,503.52,0
376,503.04,0
377,512.16,0
378,503.52,0
379,496.8,0
380,492.48,0
381,457.44,0
382,444.96,0
383,442.56,0
384,433.92,0
385,430.56,0
386,436.32,0
387,431.04,0
388,434.4,0
389,428.16,0
390,425.28,0
391,423.36,0
392,428.16,0
393,429.6,0
394,422.4,0
395,422.88,0
396,422.4,0
397,420.96,0
398,424.32,0
399,426.72,0
400,423.36,0
401,417.6,0
402,419.52,0
403,423.84,0
404,429.12,0
405,428.16,0
406,432.96,0
407,446.88,0
408,462.24,0
409,502.56,0
410,521.76,0
411,554.4,0
412,581.76,0
413,588.48,0
414,583.68,0
415,596.16,0
416,624.96,0
417,657.6,0
418,702.72,0
419,810.72,0
420,835.68,0
421,799.2,0
422,801.6,0
423,818.4,0
424,865.92,0
425,889.44,0
426,902.4,0
427,916.8,0
428,926.4,0
429,938.88,0
430,943.2,0
431,949.44,0
432,935.52,0
433,905.28,0
434,896.16,0
435,904.32,0
436,912.96,0
437,907.2,0
438,905.76,0
439,915.36,0
440,931.68,0
441,934.56,0
442,918.24,0
443,917.28,0
444,924.96,0
445,925.44,0
446,924.96,0
447,920.16,0
448,902.4,0
449,900.48,0
450,893.76,0
451,886.08,0
452,881.28,0
453,878.88,0
454,862.08,0
455,836.16,0
456,821.28,0
457,801.6,0
458,793.44,0
459,785.76,0
460,749.76,0
461,712.32,0
462,697.92,0
463,690.24,0
464,695.52,0
465,678.24,0
466,673.92,0
467,665.76,0
468,661.44,0
469,654.24,0
470,639.84,0
471,623.52,0
472,624.96,0
473,603.84,0
474,582.24,0
475,581.76,0
476,570.72,0
477,524.64,0
478,509.76,0
479,504.48,0
480,495.84,0
481,482.88,0
482,490.08,0
483,484.8,0
484,478.56,0
485,473.76,0
486,476.64,0
487,470.88,0
488,464.64,0
489,458.88,0
490,456.48,0
491,459.84,0
492,460.32,0
493,457.44,0
494,460.8,0
495,464.16,0
496,469.92,0
497,461.28,0
498,458.88,0
499,455.04,0
500,454.08,0
501,468.0,0
502,470.4,0
503,483.84,0
504,493.44,0
505,554.88,0
506,572.64,0
507,579.36,0
508,575.04,0
509,582.72,0
510,592.8,0
511,607.68,0
512,637.44,0
513,675.84,0
514,711.36,0
515,777.12,0
516,811.68,0
517,848.64,0
518,847.68,0
519,827.04,0
520,867.36,0
521,881.76,0
522,907.2,0
523,912.0,0
524,928.32,0
525,931.2,0
526,957.12,0
527,948.96,0
528,927.84,0
529,906.24,0
530,907.68,0
531,922.56,0
532,936.48,0
533,948.0,0
534,953.76,0
535,945.6,0
536,944.64,0
537,961.44,0
538,956.16,0
539,963.36,0
540,967.68,0
541,964.8,0
542,948.96,0
543,938.88,0
544,936.48,0
545,934.56,0
546,924.96,0
547,911.52,0
548,905.28,0
549,900.96,0
550,909.12,0
551,903.84,0
552,891.84,0
553,871.2,0
554,838.08,0
555,820.32,0
556,811.68,0
557,787.68,0
558,781.92,0
559,768.0,0
560,759.84,0
561,750.72,0
562,728.16,0
563,707.52,0
564,686.88,0
565,689.28,0
566,681.12,0
567,673.92,0
568,653.28,0
569,633.6,0
570,623.52,0
571,618.72,0
572,606.72,0
573,586.08,0
574,574.56,0
575,574.08,0
576,564.48,0
577,555.84,0
578,551.04,0
579,541.92,0
580,531.84,0
581,528.96,0
582,520.8,0
583,512.16,0
584,513.6,0
585,516.96,0
586,514.08,0
587,521.76,0
588,518.88,0
589,521.76,0
590,525.6,0
591,526.56,0
592,518.88,0
593,519.84,0
594,518.88,0
595,518.88,0
596,524.16,0
597,538.56,0
598,536.16,0
599,540.48,0
600,559.2,0
601,597.12,0
602,595.2,0
603,611.04,0
604,613.92,0
605,619.68,0
606,625.92,0
607,644.64,0
608,675.84,0
609,698.88,0
610,769.44,0
611,853.44,0
612,852.0,0
613,841.44,0
614,858.72,0
615,850.56,0
616,882.24,0
617,922.56,0
618,935.52,0
619,939.84,0
620,951.36,0
621,954.24,0
622,958.08,0
623,943.68,0
624,934.08,0
625,910.56,0
626,900.96,0
627,899.04,0
628,960.0,0
629,960.0,0
630,967.2,0
631,936.96,0
632,928.8,0
633,918.72,0
634,919.2,0
635,926.88,0
636,938.4,0
637,925.92,0
638,924.48,0
639,927.36,0
640,934.08,0
641,926.4,0
642,926.4,0
643,927.36,0
644,891.36,0
645,898.08,0
646,885.6,0
647,871.2,0
648,865.92,0
649,852.0,0
650,831.84,0
651,815.52,0
652,808.8,0
653,758.4,0
654,748.8,0
655,735.36,0
656,739.2,0
657,738.72,0
658,730.08,0
659,724.32,0
660,716.64,0
661,690.24,0
662,683.04,0
663,675.36,0
664,655.68,0
665,633.12,0
666,615.84,0
667,616.8,0
668,608.64,0
669,586.56,0
670,571.68,0
671,566.4,0
672,554.88,0
673,540.48,0
674,531.36,0
675,521.76,0
676,524.64,0
677,531.36,0
678,524.64,0
679,522.24,0
680,519.84,0
681,525.12,0
682,527.52,0
683,537.6,0
684,537.6,0
685,537.6,0
686,536.16,0
687,531.36,0
688,518.4,0
689,506.4,0
690,504.0,0
691,507.36,0
692,511.2,0
693,521.28,0
694,527.52,0
695,540.0,0
696,551.04,0
697,590.88,0
698,609.6,0
699,602.4,0
700,607.2,0
701,612.96,0
702,625.92,0
703,626.4,0
704,656.16,0
705,684.0,0
706,721.92,0
707,786.72,0
708,852.0,0
709,872.64,0
710,853.92,0
711,860.16,0
712,885.6,0
713,925.92,0
714,947.04,0
715,946.08,0
716,940.32,0
717,962.88,0
718,971.04,0
719,962.88,0
720,948.48,0
721,919.2,0
722,910.56,0
723,924.0,0
724,936.0,0
725,966.24,0
726,961.92,0
727,958.08,0
728,943.68,0
729,940.32,0
730,948.96,0
731,958.08,0
732,953.76,0
733,952.32,0
734,969.12,0
735,965.28,0
736,961.44,0
737,967.2,0
738,957.12,0
739,953.76,0
740,947.52,0
741,925.44,0
742,895.2,0
743,866.88,0
744,863.52,0
745,854.88,0
746,829.92,0
747,822.24,0
748,797.76,0
749,780.0,0
750,780.0,0
751,767.52,0
752,762.24,0
753,748.8,0
754,746.88,0
755,727.2,0
756,716.16,0
757,693.12,0
758,689.28,0
759,680.64,0
760,672.48,0
761,641.76,0
762,616.8,0
763,610.08,0
764,606.72,0
765,575.52,0
766,566.4,0
767,554.88,0
768,548.16,0
769,546.24,0
770,540.48,0
771,536.64,0
772,527.52,0
773,524.64,0
774,529.92,0
775,525.12,0
776,520.8,0
777,519.84,0
778,526.56,0
779,519.36,0
780,516.0,0
781,513.12,0
782,514.08,0
783,515.04,0
784,519.36,0
785,516.48,0
786,517.92,0
787,520.32,0
788,522.24,0
789,526.56,0
790,540.96,0
791,542.4,0
792,554.4,0
793,587.52,0
794,597.6,0
795,610.56,0
796,617.28,0
797,640.32,0
798,643.2,0
799,642.24,0
800,659.52,0
801,687.84,0
802,707.04,0
803,806.88,0
804,854.4,0
805,904.32,0
806,901.44,0
807,862.08,0
808,868.32,0
809,889.92,0
810,907.68,0
811,928.8,0
812,952.8,0
813,948.48,0
814,969.12,0
815,955.68,0
816,946.08,0
817,923.52,0
818,900.48,0
819,902.4,0
820,901.92,0
821,924.0,0
822,926.4,0
823,933.6,0
824,935.04,0
825,941.76,0
826,931.2,0
827,925.92,0
828,925.44,0
829,925.44,0
830,927.84,0
831,913.92,0
832,907.68,0
833,900.48,0
834,902.4,0
835,883.2,0
836,880.8,0
837,865.92,0
838,850.56,0
839,828.96,0
840,813.12,0
841,797.76,0
842,779.04,0
843,769.92,0
844,748.32,0
845,736.8,0
846,717.12,0
847,672.0,0
848,665.76,0
849,668.16,0
850,655.68,0
851,656.64,0
852,644.16,0
853,628.8,0
854,620.64,0
855,611.04,0
856,619.2,0
857,589.44,0
858,580.32,0
859,575.04,0
860,577.44,0
861,558.24,0
862,546.24,0
863,540.96,0
864,538.08,0
865,540.0,0
866,540.48,0
867,531.84,0
868,522.72,0
869,518.4,0
870,511.2,0
871,508.32,0
872,507.84,0
873,502.08,0
874,499.68,0
875,500.64,0
876,504.48,0
877,501.12,0
878,503.04,0
879,502.08,0
880,499.2,0
881,499.68,0
882,502.56,0
883,500.64,0
884,505.44,0
885,511.68,0
886,507.36,0
887,518.88,0
888,523.2,0
889,546.24,0
890,562.08,0
891,562.08,0
892,561.6,0
893,577.92,0
894,577.92,0
895,582.72,0
896,602.88,0
897,609.12,0
898,627.36,0
899,630.24,0
900,661.92,0
901,675.36,0
902,690.24,0
903,669.6,0
904,679.2,0
905,687.84,0
906,691.2,0
907,684.96,0
908,681.6,0
909,694.08,0
910,709.44,0
911,706.08,0
912,696.48,0
913,699.84,0
914,695.04,0
915,686.4,0
916,691.68,0
917,672.48,0
918,662.4,0
919,650.88,0
920,653.76,0
921,638.4,0
922,622.08,0
923,616.8,0
924,618.24,0
925,616.32,0
926,618.24,0
927,616.32,0
928,608.16,0
929,631.68,0
930,621.12,0
931,611.52,0
932,606.72,0
933,599.04,0
934,611.52,0
935,616.32,0
936,607.2,0
937,600.96,0
938,600.96,0
939,592.32,0
940,581.76,0
941,563.04,0
942,551.04,0
943,549.6,0
944,544.8,0
945,538.08,0
946,526.56,0
947,528.0,0
948,526.56,0
949,528.96,0
950,527.52,0
951,523.68,0
952,528.0,0
953,517.44,0
954,507.36,0
